Quantify Compound Summary Report 

Printed Fri Nov 15 20:11:10 2024

Compound 1:  MITRAGYNINE

	#	Name	Type	Vial	Std. Conc	RT	Area	IS Area	Area Ratio	Response	Conc.	%Dev	Subject Text	S/N	Summary Flag Reason
117	117	112719_Female_MitragynineHCl_PK_HQC5	QC	1:C,4	180.000	0.90	107123	171831	0.623	6.234	183.58	2.0		1358911.000	
118	118	112719_R7_Mitra_F_IP5MPK_30min_10X	Analyte	2:B,12		0.91	382	166716	0.002	0.023	0.84			4829.000	
119	119	112719_R7_Mitra_F_IP5MPK_45min_5X	Analyte	2:C,1		0.90	778	173852	0.004	0.045	1.48			9336.000	
120	120	112719_R7_Mitra_F_IP5MPK_60min_5X	Analyte	2:C,2		0.91	640	161494	0.004	0.040	1.33			1137.411	
121	121	112719_R7_Mitra_F_IP5MPK_2hr_5X	Analyte	2:C,3		0.91	440	162408	0.003	0.027	0.96			5271.000	
122	122	112719_R7_Mitra_F_IP5MPK_4hr_5X	Analyte	2:C,4		0.91	331	165159	0.002	0.020	0.75			3619.000	
123	123	112719_R7_Mitra_F_IP5MPK_8hr	Analyte	2:C,5		0.91	1104	163933	0.007	0.067	2.14			12702.000	
124	124	112719_R7_Mitra_F_IP5MPK_12hr	Analyte	2:C,6		0.91	627	165221	0.004	0.038	1.28			7493.000	
125	125	112719_R7_Mitra_F_IP5MPK_18hr	Analyte	2:C,7		0.90	366	161169	0.002	0.023	0.83			285.976	
126	126	112719_R7_Mitra_F_IP5MPK_24hr	Analyte	2:C,8		0.91	157	161989	0.001	0.010	0.45			150.299	
127	127	112719_R8_Mitra_F_IP5MPK_PreDose	Analyte	2:C,9		0.86	15	165379	0.000	0.001	0.19			245.000	
128	128	112719_R8_Mitra_F_IP5MPK_5min_10X	Analyte	2:C,10		0.90	163	165827	0.001	0.010	0.45			154.865	
129	129	112719_R8_Mitra_F_IP5MPK_15min_10X	Analyte	2:C,11		0.92	285	168279	0.002	0.017	0.66			3278.000	
130	130	112719_R8_Mitra_F_IP5MPK_30min_10X	Analyte	2:C,12		0.91	370	173290	0.002	0.021	0.79			4507.000	
131	131	112719_R8_Mitra_F_IP5MPK_45min_5X	Analyte	2:D,1		0.91	848	169087	0.005	0.050	1.64			9774.000	
132	132	112719_R8_Mitra_F_IP5MPK_60min_5X	Analyte	2:D,2		0.90	645	161047	0.004	0.040	1.34			8152.000	
133	133	112719_R8_Mitra_F_IP5MPK_2hr_5X	Analyte	2:D,3		0.90	538	163166	0.003	0.033	1.13			6259.000	
134	134	112719_R8_Mitra_F_IP5MPK_4hr_5X	Analyte	2:D,4		0.92	356	163249	0.002	0.022	0.81			4094.000	
135	135	112719_R8_Mitra_F_IP5MPK_8hr	Analyte	2:D,5		0.91	1593	162884	0.010	0.098	3.04			18249.000	
136	136	112719_R8_Mitra_F_IP5MPK_12hr	Analyte	2:D,6		0.91	1288	162433	0.008	0.079	2.50			14897.000	
137	137	112719_R8_Mitra_F_IP5MPK_18hr	Analyte	2:D,7		0.91	1080	160165	0.007	0.067	2.15			11719.000	
138	138	112719_R8_Mitra_F_IP5MPK_24hr	Analyte	2:D,8		0.91	1175	159644	0.007	0.074	2.33			12331.000	
139	139	112719_Female_MitragynineHCl_PK_LLOQ6	QC	1:C,5	1.000	0.91	591	166711	0.004	0.035	1.21	20.6		6858.000	
140	140	112719_Female_MitragynineHCl_PK_LQC6	QC	1:C,6	3.000	0.91	1622	170941	0.009	0.095	2.95	-1.5		19293.000	
141	141	112719_Female_MitragynineHCl_PK_MQC6	QC	1:C,7	90.000	0.92	52312	167844	0.312	3.117	91.86	2.1		96186.570	
142	142	112719_Female_MitragynineHCl_PK_HQC6	QC	1:C,8	180.000	0.91	113713	169642	0.670	6.703	197.38	9.7		1387635.000	

Compound 3:  IS_VRPML

	#	Name	Type	Vial	Std. Conc	RT	Area	IS Area	Area Ratio	Response	Conc.	%Dev	Subject Text	S/N	Summary Flag Reason
1	1	112719_Female_MitragynineHCl_PK_CS0		2:H,10	10.000										
2	2	112719_Female_MitragynineHCl_PK_CS0_IS		2:H,11	10.000	2.74	174355			174354.547	9.82	-1.8		2936515.000	
3	3	112719_Female_MitragynineHCl_PK_CS1	Standard	1:A,1	10.000	2.74	178638			178637.703	10.06	0.6		2996553.000	
4	4	112719_Female_MitragynineHCl_PK_CS2	Standard	1:A,2	10.000	2.74	177223			177222.750	9.98	-0.2		2957807.000	
5	5	112719_Female_MitragynineHCl_PK_CS3	Standard	1:A,3	10.000	2.73	175962			175962.094	9.91	-0.9		2925709.000	
6	6	112719_Female_MitragynineHCl_PK_CS4	Standard	1:A,4	10.000	2.73	174938			174938.000	9.86	-1.4		2907612.000	
7	7	112719_Female_MitragynineHCl_PK_CS5	Standard	1:A,5	10.000	2.73	175735			175734.828	9.90	-1.0		2927430.000	
8	8	112719_Female_MitragynineHCl_PK_CS6	Standard	1:A,6	10.000	2.73	178964			178964.453	10.08	0.8		2979774.000	
9	9	112719_Female_MitragynineHCl_PK_CS7	Standard	1:A,7	10.000	2.73	178363			178363.156	10.05	0.5		587837.263	
10	10	112719_Female_MitragynineHCl_PK_CS8	Standard	1:A,8	10.000	2.73	180152			180152.484	10.15	1.5		3007110.000	
11	11	112719_Female_MitragynineHCl_PK_CS0_IS2		2:H,11	10.000	2.74	176969			176969.000	9.97	-0.3		2957535.000	
