Quantify Compound Summary Report 

Printed Wed Oct 30 12:27:59 2024

Compound 1:  NEU7032

	#	Name	Type	Std. Conc	RT	Area	IS Area	Area Ratio	Response	Conc.	S/N	Vial	Conc. Dev. Flagged	%Dev
41	41	07182024_NEU_PK_BLK_PLASM8			2.56	345	13.576	25.41212	508.242	170.3	38.139	1:E,2	NO	
42	42	07182024_NEU_7369_IP_5MG_MICE_PK_30MIN			2.55	5415387	30734.816	176.19715	3523.943	1181.5	101266.472	1:G,10	NO	
43	43	07182024_NEU_7369_IP_5MG_MICE_PK_1HR			2.55	5334672	32992.852	161.69174	3233.835	1084.3	66722.359	1:G,11	NO	
44	44	07182024_NEU_7369_IP_5MG_MICE_PK_2HR			2.55	1665859	38920.211	42.80190	856.038	287.0	51893.892	1:G,12	NO	
45	45	07182024_NEU_PK_BLK_PLASM9			2.54	3721	9.377	396.77200	7935.440	2660.7	132.929	1:E,2	NO	
46	46	07182024_NEU_PK_LLOQ_2A	QC	1.000	2.55	5884	40801.148	0.14421	2.884	0.9	1331.904	1:F,9	NO	-10.8
47	47	07182024_NEU_PK_LQC_2A	QC	3.000	2.55	18140	40241.004	0.45078	9.016	2.9	2463.158	1:F,10	NO	-1.7
48	48	07182024_NEU_PK_MQC_2A	QC	90.000	2.55	524748	39449.016	13.30193	266.039	89.1	21636.545	1:F,11	NO	-1.0
49	49	07182024_NEU_PK_HQC_2A	QC	180.000	2.55	1199942	41875.988	28.65466	573.093	192.1	46784.396	1:F,12	NO	6.7
50	50	07182024_NEU_PK_BLK_PLASM10										1:E,2		
51	51	DILUTED SAMPLES												
52	52	07182024_NEU_BLK_ACN1A			2.55	724	17.047	42.45169	849.034	284.6	50.834	1:A,1	NO	
53	53	07182024_NEU_BLK_ACN2A			2.55	434	22.623	19.20072	384.014	128.7	68.129	1:A,1	NO	
54	54	07182024_NEU_7032_IP_5MG_MICE_PK_10X_30MIN			2.55	11643	37148.195	0.31342	6.268	2.0	1935.634	1:H,1	NO	
55	55	07182024_NEU_7032_IP_5MG_MICE_PK_10x_1HR			2.55	1574	36645.504	0.04297	0.859	0.2	241.885	1:H,2	NO	
56	56	07182024_NEU_7032_IP_5MG_MICE_PK_10x_2HR			2.55	1309	36393.715	0.03597	0.719	0.2	199.665	1:H,3	NO	
57	57	07182024_NEU_PK_BLK_PLASM13			2.56	65	23.148	2.80893	56.179	18.8	7.970	1:E,2	NO	
58	58	07182024_NEU_PK_LLOQ_1A	QC	1.000	2.55	6886	42757.313	0.16104	3.221	1.0	871.649	1:F,1	NO	0.5
59	59	07182024_NEU_PK_LQC_1A	QC	3.000	2.55	17161	41398.309	0.41452	8.290	2.7	2783.052	1:F,2	NO	-9.8
60	60	07182024_NEU_PK_MQC_1A	QC	90.000	2.55	535847	39726.891	13.48827	269.765	90.4	24049.801	1:F,3	NO	0.4
61	61	07182024_NEU_PK_HQC_1A	QC	180.000	2.55	1240820	42663.016	29.08422	581.684	195.0	35923.689	1:F,4	NO	8.3
62	62	07182024_NEU_PK_BLK_PLASM14			2.55	417	17.978	23.19691	463.938	155.5	35.186	1:E,2	NO	
63	63	07182024_NEU_7369_IP_5MG_MICE_PK_10x_30MIN			2.55	765490	35532.926	21.54311	430.862	144.4	58050.284	1:H,4	NO	
64	64	07182024_NEU_7369_IP_5MG_MICE_PK_10x_1HR			2.55	781531	35451.168	22.04527	440.905	147.8	28222.142	1:H,5	NO	
65	65	07182024_NEU_7369_IP_5MG_MICE_PK_10x_2HR			2.55	193202	37071.215	5.21165	104.233	34.9	20274.121	1:H,6	NO	
66	66	07182024_NEU_PK_BLK_PLASM15			2.55	566	8.000	70.72062	1414.412	474.2	31.239	1:E,2	NO	
67	67	07182024_NEU_PK_LLOQ_2A	QC	1.000	2.55	5884	40801.148	0.14421	2.884	0.9	1331.904	1:F,9	NO	-10.8
68	68	07182024_NEU_PK_LQC_2A	QC	3.000	2.55	18140	40241.004	0.45078	9.016	2.9	2463.158	1:F,10	NO	-1.7
69	69	07182024_NEU_PK_MQC_2A	QC	90.000	2.55	524748	39449.016	13.30193	266.039	89.1	21636.545	1:F,11	NO	-1.0
70	70	07182024_NEU_PK_HQC_2A	QC	180.000	2.55	1199942	41875.988	28.65466	573.093	192.1	46784.396	1:F,12	NO	6.7
71	71	07182024_NEU_PK_BLK_PLASM16			2.55	476	4.427	107.48023	2149.605	720.7	41.173	1:E,2	NO	
72	72	07182024_NEU_7032_DRUG_CONTENT_FORMULATION_1020x_1			2.56	891	37551.191	0.02373	0.475	0.1	123.196	1:B,1	NO	
73	73	07182024_NEU_7032_DRUG_CONTENT_FORMULATION_1020x_2			2.55	4256	37362.629	0.11392	2.278	0.7	730.607	1:B,2	NO	
74	74	07182024_NEU_7032_DRUG_CONTENT_FORMULATION_1020x_3			2.56	1781	36853.965	0.04831	0.966	0.2	282.248	1:B,3	NO	
75	75	07182024_NEU_7369_DRUG_CONTENT_FORMULATION_1020x_1			2.56	9822427	38107.031	257.75892	5155.178	1728.5	128783.886	1:B,4	NO	
76	76	07182024_NEU_7369_DRUG_CONTENT_FORMULATION_1020x_2			2.55	10543259	37370.113	282.13078	5642.616	1891.9	94625.575	1:B,5	NO	
77	77	07182024_NEU_7369_DRUG_CONTENT_FORMULATION_1020x_3			2.55	10825048	38582.129	280.57156	5611.431	1881.5	230258.364	1:B,6	NO	
78	78	07182024_NEU_BLK_ACN8			2.55	13156	9.394	1400.48212	28009.642	9391.8	479.700	1:A,1	NO	
79	79	07182024_NEU_BLK_ACN9			2.55	3151	3.963	795.23038	15904.608	5332.9	158.889	1:A,1	NO	
80	80	07182024_NEU_BLK_ACN10			2.55	1846	12.517	147.44643	2948.929	988.7	101.800	1:A,1	NO	

Compound 3:  VERAPAMIL

	#	Name	Type	Std. Conc	RT	Area	IS Area	Area Ratio	Response	Conc.	S/N	Vial	Conc. Dev. Flagged	%Dev
1	1	07182024_NEU_BLK_ACN1		20.000								1:A,1		
2	2	07182024_NEU_BLK_ACN2		20.000	2.46	43			42.987	0.0	6.350	1:A,1	NO	-99.9
3	3	07182024_NEU_BLK_ACN3		20.000								1:A,1		
4	4	07182024_NEU_SST1A		20.000	2.42	35066			35065.637	20.4	6609.503	1:E,4	NO	1.9
5	5	07182024_NEU_SST2A		20.000	2.42	34013			34012.875	19.8	7514.475	1:E,4	NO	-1.2
6	6	07182024_NEU_SST3A		20.000	2.42	33120			33119.914	19.2	10306.940	1:E,4	NO	-3.8
7	7	07182024_NEU_SST4A		20.000	2.42	33257			33257.398	19.3	12187.853	1:E,4	NO	-3.4
8	8	07182024_NEU_SST5A		20.000	2.42	33386			33386.211	19.4	10936.248	1:E,4	NO	-3.0
9	9	07182024_NEU_BLK_ACN4	Blank	20.000	2.43	19			19.236	0.0	4.475	1:A,1	NO	-99.9
